"","B1PAGE_M2","B1PRSEX","B1PD1","B1PD2","B1PD14","B1PD15","B1SNEGFW","TROUBLE","B1SQ1"
"928",62,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"929",34,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",7
"930",42,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"931",37,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",9
"932",66,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"933",48,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",7
"934",51,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",7
"935",57,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",9
"936",39,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",7
"937",64,"(2) Female","(2) No",NA,NA,NA,6,"Never",8
"938",50,"(1) Male","(1) Yes","(06) Mother",50,10,10,"Once or a few times",7
"939",58,"(1) Male","(2) No",NA,NA,NA,6,"Never",8
"940",38,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"941",54,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",8
"942",74,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"943",40,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"944",65,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",8
"945",59,"(2) Female","(1) Yes","(06) Mother",12,10,8,"Once or a few times",10
"946",52,"(2) Female","(2) No",NA,NA,NA,9,"Most or all of the time",7
"947",38,"(2) Female","(1) Yes","(13) Other (specify)",1,4,6,"Once or a few times",7
"948",75,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"949",64,"(2) Female","(1) Yes","(05) Father",20,16,NA,"Once or a few times",9
"950",40,"(1) Male","(2) No",NA,NA,NA,8,NA,8
"951",38,"(1) Male","(2) No",NA,NA,NA,8,NA,7
"952",38,"(1) Male","(2) No",NA,NA,NA,6,"Never",9
"953",38,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"954",49,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"955",37,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",7
"956",73,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"957",34,"(2) Female","(2) No",NA,NA,NA,8,"Never",10
"958",48,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"959",53,"(2) Female","(2) No",NA,NA,NA,7,"Once or a few times",8
"960",54,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"961",43,"(2) Female","(2) No",NA,NA,NA,5,"Once or a few times",7
"962",63,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"963",44,"(1) Male","(2) No",NA,NA,NA,10,"Never",7
"964",49,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"965",61,"(1) Male","(2) No",NA,NA,NA,7,"Never",10
"966",48,"(2) Female","(2) No",NA,NA,NA,10,"Never",8
"967",48,"(2) Female","(2) No",NA,NA,NA,12,NA,8
"968",57,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",8
"969",63,"(1) Male","(2) No",NA,NA,NA,13,NA,5
"970",61,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",8
"971",70,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"972",46,"(1) Male","(2) No",NA,NA,NA,11,NA,7
"973",41,"(2) Female","(2) No",NA,NA,NA,8,NA,9
"974",62,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"975",68,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"976",36,"(2) Female","(1) Yes","(04) Daughter",3,96,9,"Once or a few times",8
"977",42,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",8
"978",37,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"979",37,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"980",56,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"981",59,"(2) Female","(2) No",NA,NA,NA,6,NA,6
"982",60,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"983",37,"(1) Male","(2) No",NA,NA,NA,13,"Most or all of the time",8
"984",55,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"985",44,"(1) Male","(2) No",NA,NA,NA,5,"Once or a few times",7
"986",38,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"987",64,"(1) Male","(2) No",NA,NA,NA,8,NA,10
"988",39,"(2) Female","(2) No",NA,NA,NA,13,NA,9
"989",45,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"990",57,"(2) Female","(2) No",NA,NA,NA,6,NA,9
"991",48,"(1) Male","(2) No",NA,NA,NA,8,NA,9
"992",69,"(2) Female","(2) No",NA,NA,NA,7,"Once or a few times",10
"993",61,"(1) Male","(2) No",NA,NA,NA,6,"Once or a few times",7
"994",36,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"995",44,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"996",72,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"997",50,"(2) Female","(2) No",NA,NA,NA,9,"Never",8
"998",64,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"999",67,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",6
"1000",81,"(2) Female","(2) No",NA,NA,NA,7,NA,9
"1001",38,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"1002",84,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1003",48,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",6
"1004",55,"(1) Male","(2) No",NA,NA,NA,9,"Never",8
"1005",70,"(1) Male","(2) No",NA,NA,NA,4,NA,8
"1006",60,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1007",63,"(2) Female","(2) No",NA,NA,NA,NA,NA,6
"1008",45,"(2) Female","(2) No",NA,NA,NA,11,"Never",7
"1009",53,"(2) Female","(2) No",NA,NA,NA,12,"Once or a few times",5
"1010",34,"(2) Female","(1) Yes","(06) Mother",4,40,NA,"Never",8
"1011",59,"(2) Female","(2) No",NA,NA,NA,7,NA,9
"1012",34,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",6
"1013",70,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1014",48,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",5
"1015",79,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1016",52,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"1017",58,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1018",69,"(2) Female","(2) No",NA,NA,NA,5,NA,8
"1019",49,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",8
"1020",49,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",5
"1021",64,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"1022",46,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1023",61,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"1024",38,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",6
"1025",39,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1026",79,"(1) Male","(2) No",NA,NA,NA,4,"Never",9
"1027",42,"(2) Female","(2) No",NA,NA,NA,7,"Once or a few times",7
"1028",57,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1029",61,"(2) Female","(2) No",NA,NA,NA,6,"Never",8
"1030",67,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"1031",38,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"1032",62,"(1) Male","(2) No",NA,NA,NA,8,NA,8
"1033",48,"(2) Female","(1) Yes","(06) Mother",12,20,NA,NA,NA
"1034",54,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1035",57,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"1036",56,"(2) Female","(2) No",NA,NA,NA,4,"Never",8
"1037",60,"(1) Male","(2) No",NA,NA,NA,5,"Once or a few times",8
"1038",49,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",10
"1039",40,"(2) Female","(1) Yes","(06) Mother",52,40,7,NA,5
"1040",45,"(2) Female","(1) Yes","(09) Grandfather",6,NA,NA,NA,NA
"1041",41,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",8
"1042",73,"(2) Female","(1) Yes","(01) Husband",52,NA,8,"Once or a few times",8
"1043",49,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"1044",44,"(2) Female","(2) No",NA,NA,NA,10,NA,8
"1045",43,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1046",57,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"1047",65,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1048",51,"(1) Male","(2) No",NA,NA,NA,15,"Most or all of the time",7
"1049",73,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1050",67,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1051",80,"(1) Male","(2) No",NA,NA,NA,NA,NA,7
"1052",50,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1053",63,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",10
"1054",82,"(1) Male","(2) No",NA,NA,NA,NA,NA,8
"1055",70,"(2) Female","(2) No",NA,NA,NA,NA,NA,7
"1056",57,"(1) Male","(2) No",NA,NA,NA,9,"Never",9
"1057",48,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1058",73,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1059",36,"(2) Female","(2) No",NA,NA,NA,4,"Never",7
"1060",74,"(2) Female","(2) No",NA,NA,NA,6,NA,9
"1061",52,"(1) Male","(1) Yes","(05) Father",3,NA,8,"Never",9
"1062",69,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"1063",54,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",5
"1064",82,"(2) Female","(1) Yes","(13) Other (specify)",12,15,NA,NA,9
"1065",43,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",7
"1066",53,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1067",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1068",59,"(2) Female","(1) Yes","(01) Husband",4,12,12,NA,NA
"1069",80,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"1070",54,"(1) Male","(1) Yes","(06) Mother",36,40,NA,NA,8
"1071",48,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"1072",67,"(1) Male","(2) No",NA,NA,NA,5,"Never",9
"1073",72,"(2) Female","(1) Yes","(01) Husband",4,25,NA,"Never",9
"1074",56,"(1) Male","(2) No",NA,NA,NA,6,"Never",9
"1075",61,"(2) Female","(2) No",NA,NA,NA,9,NA,6
"1076",57,"(2) Female","(2) No",NA,NA,NA,14,NA,6
"1077",43,"(2) Female","(2) No",NA,NA,NA,7,"Never",7
"1078",40,"(2) Female","(1) Yes","(05) Father",12,8,NA,NA,NA
"1079",73,"(2) Female","(2) No",NA,NA,NA,5,"Once or a few times",8
"1080",59,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"1081",69,"(1) Male","(2) No",NA,NA,NA,NA,"Never",NA
"1082",49,"(2) Female","(2) No",NA,NA,NA,NA,NA,6
"1083",56,"(2) Female","(2) No",NA,NA,NA,10,NA,5
"1084",80,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1085",50,"(2) Female","(2) No",NA,NA,NA,8,NA,9
"1086",73,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1087",47,"(2) Female","(2) No",NA,NA,NA,9,NA,6
"1088",47,"(2) Female","(1) Yes","(01) Husband",3,21,11,"Most or all of the time",8
"1089",53,"(1) Male","(2) No",NA,NA,NA,5,"Never",8
"1090",50,"(2) Female","(2) No",NA,NA,NA,8,"Never",7
"1091",58,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1092",62,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1093",59,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1094",48,"(2) Female","(2) No",NA,NA,NA,5,NA,NA
"1095",45,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",9
"1096",64,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"1097",44,"(1) Male","(1) Yes","(06) Mother",8,4,NA,NA,NA
"1098",34,"(2) Female","(1) Yes","(13) Other (specify)",52,30,11,NA,9
"1099",47,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1100",44,"(1) Male","(2) No",NA,NA,NA,11,"Never",7
"1101",39,"(2) Female","(2) No",NA,NA,NA,8,"Most or all of the time",6
"1102",72,"(1) Male","(2) No",NA,NA,NA,NA,NA,8
"1103",60,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"1104",69,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1105",66,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"1106",70,"(1) Male","(2) No",NA,NA,NA,10,NA,7
"1107",50,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1108",59,"(2) Female","(2) No",NA,NA,NA,12,NA,8
"1109",69,"(2) Female","(2) No",NA,NA,NA,9,"Never",9
"1110",35,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",7
"1111",64,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"1112",40,"(2) Female","(2) No",NA,NA,NA,5,"Never",8
"1113",53,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"1114",62,"(1) Male","(2) No",NA,NA,NA,6,"Never",10
"1115",68,"(2) Female","(1) Yes","(13) Other (specify)",6,18,NA,"Never",10
"1116",53,"(1) Male","(2) No",NA,NA,NA,9,"Never",9
"1117",79,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"1118",47,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1119",76,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",9
"1120",45,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1121",51,"(2) Female","(2) No",NA,NA,NA,9,"Never",8
"1122",45,"(2) Female","(1) Yes","(03) Son",52,5,9,"Never",7
"1123",80,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"1124",80,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1125",53,"(2) Female","(1) Yes","(13) Other (specify)",6,15,8,NA,9
"1126",58,"(1) Male","(2) No",NA,NA,NA,4,"Never",9
"1127",53,"(1) Male","(2) No",NA,NA,NA,9,"Never",10
"1128",61,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1129",61,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",8
"1130",60,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"1131",75,"(2) Female","(2) No",NA,NA,NA,NA,NA,5
"1132",65,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"1133",74,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"1134",42,"(1) Male","(2) No",NA,NA,NA,7,"Most or all of the time",7
"1135",55,"(2) Female","(2) No",NA,NA,NA,13,NA,8
"1136",51,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",7
"1137",35,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",7
"1138",49,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",8
"1139",37,"(2) Female","(1) Yes","(03) Son",52,84,NA,NA,NA
"1140",37,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1141",40,"(2) Female","(1) Yes","(13) Other (specify)",52,40,NA,NA,NA
"1142",41,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1143",42,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",7
"1144",65,"(1) Male","(2) No",NA,NA,NA,6,NA,9
"1145",41,"(2) Female","(2) No",NA,NA,NA,12,"Never",9
"1146",83,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"1147",55,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1148",48,"(2) Female","(1) Yes","(13) Other (specify)",8,NA,NA,NA,NA
"1149",36,"(1) Male","(2) No",NA,NA,NA,4,"Most or all of the time",10
"1150",75,"(1) Male","(2) No",NA,NA,NA,4,NA,8
"1151",45,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1152",79,"(2) Female","(2) No",NA,NA,NA,NA,NA,4
"1153",35,"(1) Male","(2) No",NA,NA,NA,11,"Never",8
"1154",44,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",9
"1155",52,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1156",59,"(2) Female","(2) No",NA,NA,NA,10,"Never",8
"1157",35,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1158",66,"(2) Female","(1) Yes","(01) Husband",8,12,NA,"Never",6
"1159",47,"(2) Female","(2) No",NA,NA,NA,10,"Once or a few times",7
"1160",48,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1161",39,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1162",61,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",9
"1163",35,"(1) Male","(2) No",NA,NA,NA,9,NA,8
"1164",67,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1165",40,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",7
"1166",69,"(2) Female","(2) No",NA,NA,NA,7,"Never",10
"1167",39,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",6
"1168",46,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"1169",61,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1170",47,"(2) Female","(1) Yes","(06) Mother",52,12,8,"Most or all of the time",7
"1171",57,"(2) Female","(2) No",NA,NA,NA,NA,"Never",6
"1172",45,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1173",64,"(2) Female","(2) No",NA,NA,NA,4,"Once or a few times",7
"1174",49,"(1) Male","(2) No",NA,NA,NA,5,"Never",9
"1175",48,"(2) Female","(2) No",NA,NA,NA,5,"Never",9
"1176",58,"(1) Male","(2) No",NA,NA,NA,4,"Never",8
"1177",41,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",9
"1178",59,"(2) Female","(2) No",NA,NA,NA,5,"Never",8
"1179",72,"(2) Female","(2) No",NA,NA,NA,12,NA,7
"1180",62,"(2) Female","(2) No",NA,NA,NA,7,NA,8
"1181",37,"(1) Male","(2) No",NA,NA,NA,9,"Never",9
"1182",43,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1183",45,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",8
"1184",50,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",6
"1185",57,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",7
"1186",60,"(2) Female","(2) No",NA,NA,NA,7,"Never",8
"1187",48,"(1) Male","(2) No",NA,NA,NA,6,"Never",8
"1188",67,"(2) Female","(2) No",NA,NA,NA,5,NA,9
"1189",41,"(2) Female","(2) No",NA,NA,NA,8,NA,7
"1190",53,"(1) Male","(2) No",NA,NA,NA,10,"Never",8
"1191",48,"(1) Male","(2) No",NA,NA,NA,4,"Never",9
"1192",40,"(2) Female","(2) No",NA,NA,NA,5,"Never",10
"1193",47,"(1) Male","(1) Yes","(02) Wife",NA,25,NA,NA,NA
"1194",45,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1195",44,"(1) Male","(2) No",NA,NA,NA,7,NA,8
"1196",49,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1197",62,"(2) Female","(1) Yes","(08) Sister",52,10,9,NA,7
"1198",59,"(1) Male","(2) No",NA,NA,NA,6,"Never",9
"1199",54,"(2) Female","(2) No",NA,NA,NA,9,"Never",8
"1200",50,"(2) Female","(2) No",NA,NA,NA,NA,"Most or all of the time",4
"1201",46,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1202",44,"(1) Male","(1) Yes","(05) Father",10,20,9,"Never",7
"1203",82,"(2) Female","(2) No",NA,NA,NA,NA,"Never",7
"1204",64,"(2) Female","(2) No",NA,NA,NA,8,"Never",7
"1205",50,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"1206",68,"(2) Female","(1) Yes","(08) Sister",4,35,NA,NA,NA
"1207",54,"(1) Male","(2) No",NA,NA,NA,4,NA,5
"1208",39,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1209",55,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1210",55,"(1) Male","(2) No",NA,NA,NA,15,"Once or a few times",1
"1211",40,"(2) Female","(2) No",NA,NA,NA,8,NA,5
"1212",35,"(2) Female","(1) Yes","(04) Daughter",3,5,NA,"Once or a few times",8
"1213",73,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"1214",51,"(2) Female","(1) Yes","(06) Mother",52,20,16,"Never",9
"1215",54,"(2) Female","(2) No",NA,NA,NA,7,"Never",9
"1216",70,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1217",39,"(1) Male","(2) No",NA,NA,NA,11,"Most or all of the time",9
"1218",72,"(2) Female","(1) Yes","(01) Husband",0,8,NA,"Once or a few times",8
"1219",44,"(2) Female","(1) Yes","(06) Mother",12,40,NA,NA,NA
"1220",76,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"1221",62,"(2) Female","(2) No",NA,NA,NA,9,NA,7
"1222",49,"(2) Female","(2) No",NA,NA,NA,9,"Never",7
"1223",43,"(2) Female","(2) No",NA,NA,NA,8,NA,7
"1224",71,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",8
"1225",51,"(1) Male","(2) No",NA,NA,NA,4,"Never",7
"1226",78,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"1227",49,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"1228",48,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1229",50,"(1) Male","(1) Yes","(07) Brother",6,10,12,"Never",8
"1230",58,"(2) Female","(1) Yes","(13) Other (specify)",12,4,NA,"Never",10
"1231",70,"(2) Female","(2) No",NA,NA,NA,6,NA,9
"1232",52,"(2) Female","(2) No",NA,NA,NA,11,"Never",9
"1233",45,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1234",46,"(1) Male","(2) No",NA,NA,NA,9,"Never",9
"1235",48,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",8
"1236",53,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"1237",51,"(1) Male","(1) Yes","(05) Father",20,20,15,"Never",7
"1238",73,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"1239",68,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1240",45,"(1) Male","(2) No",NA,NA,NA,12,"Once or a few times",9
"1241",57,"(2) Female","(1) Yes","(05) Father",52,2,8,"Never",9
"1242",82,"(2) Female","(2) No",NA,NA,NA,NA,"Never",7
"1243",56,"(1) Male","(1) Yes","(03) Son",20,20,9,"Never",10
"1244",36,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1245",54,"(1) Male","(2) No",NA,NA,NA,8,NA,7
"1246",45,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",8
"1247",56,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",9
"1248",71,"(1) Male","(2) No",NA,NA,NA,NA,NA,7
"1249",38,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",8
"1250",47,"(2) Female","(1) Yes","(08) Sister",4,24,11,NA,7
"1251",71,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1252",45,"(2) Female","(2) No",NA,NA,NA,6,"Never",8
"1253",69,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1254",55,"(2) Female","(2) No",NA,NA,NA,11,NA,8
"1255",55,"(2) Female","(1) Yes","(05) Father",4,NA,11,"Never",5
"1256",55,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",6
"1257",62,"(2) Female","(2) No",NA,NA,NA,4,NA,8
"1258",70,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"1259",35,"(1) Male","(2) No",NA,NA,NA,17,"Once or a few times",4
"1260",53,"(1) Male","(2) No",NA,NA,NA,8,"Never",7
"1261",64,"(2) Female","(2) No",NA,NA,NA,NA,NA,8
"1262",40,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",9
"1263",57,"(2) Female","(1) Yes","(13) Other (specify)",37,35,NA,"Never",6
"1264",51,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",9
"1265",76,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1266",56,"(2) Female","(2) No",NA,NA,NA,NA,"Never",7
"1267",51,"(1) Male","(2) No",NA,NA,NA,11,"Once or a few times",7
"1268",75,"(1) Male","(1) Yes","(02) Wife",52,56,NA,NA,NA
"1269",80,"(2) Female","(2) No",NA,NA,NA,5,NA,10
"1270",57,"(1) Male","(1) Yes","(11) Father-in-law",4,30,7,"Once or a few times",7
"1271",40,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"1272",46,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1273",61,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"1274",57,"(1) Male","(1) Yes","(06) Mother",4,8,10,"Never",9
"1275",44,"(2) Female","(2) No",NA,NA,NA,10,"Never",8
"1276",72,"(2) Female","(2) No",NA,NA,NA,NA,NA,5
"1277",47,"(1) Male","(2) No",NA,NA,NA,9,NA,8
"1278",65,"(2) Female","(2) No",NA,NA,NA,5,NA,8
"1279",55,"(2) Female","(2) No",NA,NA,NA,9,"Never",10
"1280",80,"(2) Female","(2) No",NA,NA,NA,NA,NA,7
"1281",44,"(2) Female","(2) No",NA,NA,NA,6,"Once or a few times",8
"1282",49,"(2) Female","(2) No",NA,NA,NA,8,"Never",7
"1283",51,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1284",65,"(2) Female","(1) Yes","(04) Daughter",52,56,NA,NA,6
"1285",64,"(1) Male","(2) No",NA,NA,NA,7,"Never",8
"1286",63,"(2) Female","(1) Yes","(01) Husband",24,80,NA,"Never",9
"1287",44,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"1288",45,"(2) Female","(2) No",NA,NA,NA,9,NA,7
"1289",57,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"1290",67,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1291",45,"(2) Female","(2) No",NA,NA,NA,NA,"Never",8
"1292",61,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"1293",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1294",69,"(2) Female","(1) Yes","(13) Other (specify)",52,2,7,"Once or a few times",8
"1295",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"1296",49,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",7
"1297",60,"(1) Male","(1) Yes","(02) Wife",52,10,NA,NA,NA
"1298",40,"(2) Female","(2) No",NA,NA,NA,6,NA,6
"1299",36,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1300",41,"(2) Female","(2) No",NA,NA,NA,13,"Never",9
"1301",35,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"1302",51,"(1) Male","(2) No",NA,NA,NA,16,"Once or a few times",5
"1303",53,"(2) Female","(2) No",NA,NA,NA,4,NA,8
"1304",44,"(2) Female","(2) No",NA,NA,NA,9,"Never",10
"1305",54,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"1306",50,"(1) Male","(2) No",NA,NA,NA,4,"Never",9
"1307",80,"(2) Female","(1) Yes","(01) Husband",45,42,NA,"Never",10
